match_id,date,venue,innings,batting_team,bowling_team,over_end,cum_runs,cum_wkts,balls_bowled,run_rate,is_chasing,target_first_innings,req_runs,overs_remaining,balls_remaining,req_run_rate,wkts_in_hand,team1,team2,home_team,home_is_batting,winner,team_result,home_team_result
524923,2011-12-27,"Sydney Cricket Ground, Sydney",1,Sydney Sixers,Melbourne Stars,20,166,9,120,8.3,False,,,,,,1,Sydney Sixers,Melbourne Stars,Sydney Sixers,True,Sydney Sixers,1,Win
524923,2011-12-27,"Sydney Cricket Ground, Sydney",2,Melbourne Stars,Sydney Sixers,6,43,2,36,7.166666666666667,True,166.0,124.0,14.0,84.0,8.857142857142858,8,Sydney Sixers,Melbourne Stars,Sydney Sixers,False,Sydney Sixers,0,Win
524923,2011-12-27,"Sydney Cricket Ground, Sydney",2,Melbourne Stars,Sydney Sixers,10,75,2,60,7.5,True,166.0,92.0,10.0,60.0,9.2,8,Sydney Sixers,Melbourne Stars,Sydney Sixers,False,Sydney Sixers,0,Win
524923,2011-12-27,"Sydney Cricket Ground, Sydney",2,Melbourne Stars,Sydney Sixers,15,114,5,90,7.6,True,166.0,53.0,5.0,30.0,10.6,5,Sydney Sixers,Melbourne Stars,Sydney Sixers,False,Sydney Sixers,0,Win
524923,2011-12-27,"Sydney Cricket Ground, Sydney",2,Melbourne Stars,Sydney Sixers,20,164,8,120,8.2,True,166.0,3.0,0.0,0.0,inf,2,Sydney Sixers,Melbourne Stars,Sydney Sixers,False,Sydney Sixers,0,Win
524924,2011-12-28,Adelaide Oval,1,Hobart Hurricanes,Adelaide Strikers,6,41,0,36,6.833333333333333,False,,,,,,10,Adelaide Strikers,Hobart Hurricanes,Adelaide Strikers,False,Hobart Hurricanes,1,Loss
524924,2011-12-28,Adelaide Oval,1,Hobart Hurricanes,Adelaide Strikers,10,69,1,60,6.9,False,,,,,,9,Adelaide Strikers,Hobart Hurricanes,Adelaide Strikers,False,Hobart Hurricanes,1,Loss
524924,2011-12-28,Adelaide Oval,1,Hobart Hurricanes,Adelaide Strikers,15,105,2,90,7.0,False,,,,,,8,Adelaide Strikers,Hobart Hurricanes,Adelaide Strikers,False,Hobart Hurricanes,1,Loss
524924,2011-12-28,Adelaide Oval,1,Hobart Hurricanes,Adelaide Strikers,20,171,4,120,8.55,False,,,,,,6,Adelaide Strikers,Hobart Hurricanes,Adelaide Strikers,False,Hobart Hurricanes,1,Loss
524924,2011-12-28,Adelaide Oval,2,Adelaide Strikers,Hobart Hurricanes,6,43,1,36,7.166666666666667,True,171.0,129.0,14.0,84.0,9.214285714285714,9,Adelaide Strikers,Hobart Hurricanes,Adelaide Strikers,True,Hobart Hurricanes,0,Loss
524924,2011-12-28,Adelaide Oval,2,Adelaide Strikers,Hobart Hurricanes,10,70,3,60,7.0,True,171.0,102.0,10.0,60.0,10.2,7,Adelaide Strikers,Hobart Hurricanes,Adelaide Strikers,True,Hobart Hurricanes,0,Loss
524924,2011-12-28,Adelaide Oval,2,Adelaide Strikers,Hobart Hurricanes,15,116,4,90,7.733333333333333,True,171.0,56.0,5.0,30.0,11.2,6,Adelaide Strikers,Hobart Hurricanes,Adelaide Strikers,True,Hobart Hurricanes,0,Loss
524924,2011-12-28,Adelaide Oval,2,Adelaide Strikers,Hobart Hurricanes,20,157,8,120,7.85,True,171.0,15.0,0.0,0.0,inf,2,Adelaide Strikers,Hobart Hurricanes,Adelaide Strikers,True,Hobart Hurricanes,0,Loss
524925,2011-12-29,Western Australia Cricket Association Ground,1,Perth Scorchers,Brisbane Heat,6,68,0,36,11.333333333333334,False,,,,,,10,Perth Scorchers,Brisbane Heat,Perth Scorchers,True,Perth Scorchers,1,Win
524925,2011-12-29,Western Australia Cricket Association Ground,1,Perth Scorchers,Brisbane Heat,10,91,2,60,9.1,False,,,,,,8,Perth Scorchers,Brisbane Heat,Perth Scorchers,True,Perth Scorchers,1,Win
524925,2011-12-29,Western Australia Cricket Association Ground,1,Perth Scorchers,Brisbane Heat,15,129,5,90,8.6,False,,,,,,5,Perth Scorchers,Brisbane Heat,Perth Scorchers,True,Perth Scorchers,1,Win
524925,2011-12-29,Western Australia Cricket Association Ground,1,Perth Scorchers,Brisbane Heat,20,162,8,120,8.1,False,,,,,,2,Perth Scorchers,Brisbane Heat,Perth Scorchers,True,Perth Scorchers,1,Win
524925,2011-12-29,Western Australia Cricket Association Ground,2,Brisbane Heat,Perth Scorchers,6,45,1,36,7.5,True,162.0,118.0,14.0,84.0,8.428571428571429,9,Perth Scorchers,Brisbane Heat,Perth Scorchers,False,Perth Scorchers,0,Win
524925,2011-12-29,Western Australia Cricket Association Ground,2,Brisbane Heat,Perth Scorchers,10,64,2,60,6.4,True,162.0,99.0,10.0,60.0,9.9,8,Perth Scorchers,Brisbane Heat,Perth Scorchers,False,Perth Scorchers,0,Win
524925,2011-12-29,Western Australia Cricket Association Ground,2,Brisbane Heat,Perth Scorchers,15,105,2,90,7.0,True,162.0,58.0,5.0,30.0,11.6,8,Perth Scorchers,Brisbane Heat,Perth Scorchers,False,Perth Scorchers,0,Win
524925,2011-12-29,Western Australia Cricket Association Ground,2,Brisbane Heat,Perth Scorchers,20,152,6,120,7.6,True,162.0,11.0,0.0,0.0,inf,4,Perth Scorchers,Brisbane Heat,Perth Scorchers,False,Perth Scorchers,0,Win
524926,2011-12-30,Stadium Australia,1,Melbourne Renegades,Sydney Thunder,6,51,0,36,8.5,False,,,,,,10,Sydney Thunder,Melbourne Renegades,Sydney Thunder,False,Melbourne Renegades,1,Loss
524926,2011-12-30,Stadium Australia,1,Melbourne Renegades,Sydney Thunder,10,81,0,60,8.1,False,,,,,,10,Sydney Thunder,Melbourne Renegades,Sydney Thunder,False,Melbourne Renegades,1,Loss
524926,2011-12-30,Stadium Australia,1,Melbourne Renegades,Sydney Thunder,15,108,3,90,7.2,False,,,,,,7,Sydney Thunder,Melbourne Renegades,Sydney Thunder,False,Melbourne Renegades,1,Loss
524926,2011-12-30,Stadium Australia,1,Melbourne Renegades,Sydney Thunder,20,140,8,120,7.0,False,,,,,,2,Sydney Thunder,Melbourne Renegades,Sydney Thunder,False,Melbourne Renegades,1,Loss
524926,2011-12-30,Stadium Australia,2,Sydney Thunder,Melbourne Renegades,6,55,0,36,9.166666666666666,True,140.0,86.0,14.0,84.0,6.142857142857143,10,Sydney Thunder,Melbourne Renegades,Sydney Thunder,True,Melbourne Renegades,0,Loss
